Baader SLOAN/SDSS i' Filter,,,,
λ (nm),OD,,,
1107,3.614869534,,,
1108,3.584084694,,,
1109,3.558296255,,,
1110,3.538506370,,,
1111,3.522999789,,,
1112,3.512987173,,,
1113,3.507160113,,,
1114,3.504693797,,,
1115,3.503516182,,,
1116,3.503491838,,,
1117,3.503220486,,,
1118,3.503814970,,,
1119,3.503173069,,,
1120,3.503017816,,,
1121,3.501826852,,,
1122,3.499481503,,,
1123,3.496961902,,,
1124,3.493915371,,,
1125,3.489868282,,,
1126,3.484139324,,,
1127,3.478259732,,,
1128,3.472041458,,,
1129,3.465334482,,,
1130,3.457002872,,,
1131,3.447358241,,,
1132,3.437327573,,,
1133,3.427261441,,,
1134,3.416130600,,,
1135,3.404534862,,,
1136,3.391669411,,,
1137,3.378118274,,,
1138,3.363950954,,,
1139,3.348800121,,,
1140,3.333650644,,,
1141,3.317450860,,,
1142,3.299777815,,,
1143,3.281744878,,,
1144,3.262502525,,,
1145,3.243204784,,,
1146,3.223535102,,,
1147,3.202016157,,,
1148,3.180790654,,,
1149,3.157889373,,,
1150,3.134480983,,,
1151,3.110598979,,,
1152,3.085958746,,,
1153,3.060441449,,,
1154,3.034452681,,,
1155,3.007501512,,,
1156,2.979956106,,,
1157,2.950855323,,,
1158,2.921956944,,,
1159,2.892950512,,,
1160,2.862547513,,,
1161,2.832789921,,,
1162,2.802030357,,,
1163,2.770153302,,,
1164,2.739034520,,,
1165,2.707845052,,,
1166,2.675106566,,,
1167,2.643941847,,,
1168,2.612007306,,,
1169,2.580597738,,,
1170,2.550873784,,,
1171,2.520894921,,,
1172,2.490823987,,,
1173,2.461975893,,,
1174,2.434715988,,,
1175,2.408539269,,,
1176,2.383145553,,,
1177,2.360173218,,,
1178,2.338117397,,,
1179,2.317743208,,,
1180,2.300046563,,,
1181,2.283885675,,,
1182,2.268615605,,,
1183,2.255644516,,,
1184,2.244209265,,,
1185,2.234402046,,,
1186,2.225800853,,,
1187,2.218603569,,,
1188,2.211504367,,,
1189,2.207212474,,,
1190,2.202493665,,,
1191,2.199053879,,,
1192,2.196410315,,,
1193,2.193053477,,,
1194,2.190489705,,,
1195,2.188376859,,,
1196,2.185936100,,,
1197,2.183732794,,,
1198,2.180449615,,,
1199,2.177578259,,,
1200,2.173486776,,,
1201,2.168779181,,,
1202,2.163741139,,,
1203,2.158237802,,,
1204,2.151918012,,,
1205,2.145295911,,,
1206,2.137540237,,,
1207,2.128770039,,,
1208,2.119262681,,,
1209,2.109342701,,,
1210,2.097635354,,,
1211,2.085677664,,,
1212,2.072570732,,,
1213,2.058048397,,,
1214,2.043021164,,,
1215,2.026976200,,,
1216,2.009575641,,,
1217,1.991748574,,,
1218,1.972769631,,,
1219,1.953066912,,,
1220,1.931205486,,,
1221,1.908858914,,,
1222,1.885946284,,,
1223,1.860229687,,,
1224,1.834858505,,,
1225,1.807763617,,,
1226,1.778144862,,,
1227,1.748939639,,,
1228,1.718236078,,,
1229,1.684502476,,,
1230,1.651167983,,,
1231,1.616031899,,,
1232,1.578457441,,,
1233,1.540630469,,,
1234,1.500182054,,,
1235,1.457228839,,,
1236,1.412947519,,,
1237,1.366631758,,,
1238,1.318917196,,,
1239,1.268198485,,,
1240,1.215375556,,,
1241,1.160360907,,,
1242,1.101979196,,,
1243,1.042086474,,,
1244,0.978870622,,,
1245,0.911705776,,,
1246,0.844887061,,,
1247,0.774821075,,,
1248,0.700402055,,,
1249,0.626748394,,,
1250,0.550194980,,,
