Baader SLOAN/SDSS u' Filter,,,,
λ (nm),OD,,,
857,7.918030245,,,
858,7.421314162,,,
859,7.020466569,,,
860,7.369902408,,,
861,7.627411588,,,
862,7.154661783,,,
863,7.233132370,,,
864,8.071291913,,,
865,7.011468712,,,
866,8.135228612,,,
867,7.309509550,,,
868,9.096027281,,,
869,8.452002484,,,
870,7.768812734,,,
871,7.119324799,,,
872,9.350325656,,,
873,7.326110381,,,
874,8.759206063,,,
875,8.337157790,,,
876,8.063580179,,,
877,8.059872399,,,
878,7.383025099,,,
879,7.657776175,,,
880,7.370579927,,,
881,8.351114550,,,
882,8.138530223,,,
883,7.055076481,,,
884,7.431718381,,,
885,7.607738187,,,
886,8.144590430,,,
887,7.101453802,,,
888,7.045370822,,,
889,7.531138406,,,
890,7.280053670,,,
891,7.164283836,,,
892,7.299023407,,,
893,7.465539164,,,
894,7.682237366,,,
895,8.243105826,,,
896,7.156454180,,,
897,7.466658620,,,
898,9.208673950,,,
899,7.939376440,,,
900,7.277277917,,,
901,7.537173511,,,
902,7.883053857,,,
903,7.015448096,,,
904,7.660274803,,,
905,8.360624820,,,
906,7.819461391,,,
907,7.979821056,,,
908,7.679705628,,,
909,8.282662618,,,
910,7.551599260,,,
911,7.694227300,,,
912,10.307909478,,,
913,7.258219425,,,
914,7.171010898,,,
915,8.446180495,,,
916,7.751426455,,,
917,7.022136694,,,
918,6.964015818,,,
919,8.955489559,,,
920,7.116007002,,,
921,7.682636422,,,
922,7.987322613,,,
923,8.117571889,,,
924,8.086583984,,,
925,7.148581074,,,
926,6.972092272,,,
927,7.331476553,,,
928,7.728453916,,,
929,7.359254292,,,
930,8.551942239,,,
931,7.368216910,,,
932,7.497667287,,,
933,7.429771785,,,
934,7.737998800,,,
935,7.952264972,,,
936,8.903483624,,,
937,8.377274570,,,
938,7.171552615,,,
939,7.311613830,,,
940,7.814992800,,,
941,7.125335286,,,
942,7.582240190,,,
943,7.775367377,,,
944,7.498856373,,,
945,7.694614361,,,
946,7.408542542,,,
947,8.026040837,,,
948,7.306738847,,,
949,7.212735439,,,
950,7.690964508,,,
951,7.177902103,,,
952,7.714020114,,,
953,7.696439443,,,
954,7.125753530,,,
955,7.159498097,,,
956,7.222498318,,,
957,7.061561143,,,
958,7.285660421,,,
959,6.934913545,,,
960,7.119684086,,,
961,6.605473220,,,
962,6.658331537,,,
963,6.496702068,,,
964,6.388722607,,,
965,6.274805988,,,
966,6.138364976,,,
967,5.951046158,,,
968,5.807024809,,,
