Baader SLOAN/SDSS z-s' Filter,,,,
λ (nm),OD,,,
789,4.162514087,,,
790,4.093210902,,,
791,4.023874013,,,
792,3.954067404,,,
793,3.879390436,,,
794,3.802821193,,,
795,3.720913174,,,
796,3.639520738,,,
797,3.553696454,,,
798,3.464522393,,,
799,3.371494518,,,
800,2.928888836,,,
801,2.817188272,,,
802,2.701923283,,,
803,2.583635338,,,
804,2.459013202,,,
805,2.333817619,,,
806,2.204277149,,,
807,2.067807137,,,
808,1.935042176,,,
809,1.827212382,,,
810,1.751191411,,,
811,1.677344433,,,
812,1.597319871,,,
813,1.502057021,,,
814,1.396227306,,,
815,1.286070262,,,
816,1.171628631,,,
817,1.052531984,,,
818,0.919564201,,,
819,0.785654570,,,
820,0.655959292,,,
821,0.533614431,,,
822,0.429204433,,,
823,0.339747326,,,
824,0.264221233,,,
825,0.203043798,,,
826,0.154111345,,,
827,0.117290099,,,
828,0.089298539,,,
829,0.068550968,,,
830,0.052905612,,,
831,0.041437312,,,
832,0.033107222,,,
833,0.027151831,,,
834,0.022050096,,,
835,0.019469995,,,
836,0.016997294,,,
837,0.015318924,,,
838,0.014197167,,,
839,0.013454627,,,
840,0.013074169,,,
841,0.011757013,,,
842,0.010485352,,,
843,0.010158868,,,
844,0.009178720,,,
845,0.007680020,,,
846,0.007010889,,,
847,0.006386564,,,
848,0.005352351,,,
849,0.004585822,,,
850,0.004984117,,,
851,0.004479384,,,
852,0.004282614,,,
853,0.003577766,,,
854,0.003670082,,,
855,0.003822248,,,
856,0.003961895,,,
857,0.004458327,,,
858,0.004462110,,,
859,0.004938604,,,
860,0.004683511,,,
861,0.005225603,,,
862,0.004737975,,,
863,0.005621834,,,
864,0.005276311,,,
865,0.005518162,,,
866,0.005285501,,,
867,0.004949697,,,
868,0.004995881,,,
869,0.005006339,,,
870,0.004677918,,,
871,0.005064396,,,
872,0.004401823,,,
873,0.003420542,,,
874,0.002971164,,,
875,0.003247852,,,
876,0.002886267,,,
877,0.002807756,,,
878,0.003000356,,,
879,0.002350117,,,
880,0.002136028,,,
881,0.002084920,,,
882,0.002840106,,,
883,0.003042396,,,
884,0.003530930,,,
885,0.004063557,,,
886,0.004378427,,,
887,0.005067983,,,
888,0.006000318,,,
889,0.006219144,,,
890,0.007205429,,,
891,0.007852255,,,
892,0.009099368,,,
893,0.009713953,,,
894,0.011111386,,,
895,0.011899576,,,
896,0.012413523,,,
897,0.013431934,,,
898,0.013777716,,,
899,0.014517863,,,
900,0.015288549,,,
901,0.015278252,,,
902,0.015633923,,,
903,0.016088936,,,
904,0.016356496,,,
905,0.016943200,,,
906,0.017931070,,,
907,0.018508876,,,
908,0.020292889,,,
909,0.022319994,,,
910,0.025125481,,,
911,0.028939689,,,
912,0.033493194,,,
913,0.040115746,,,
914,0.049458234,,,
915,0.060213624,,,
916,0.073719814,,,
917,0.090984915,,,
918,0.112816638,,,
919,0.139306302,,,
920,0.173445958,,,
921,0.213960536,,,
922,0.264083629,,,
923,0.322867116,,,
924,0.391419919,,,
925,0.470295914,,,
926,0.557849711,,,
927,0.652526899,,,
928,0.753387856,,,
929,0.856520630,,,
930,0.963970393,,,
931,1.072083326,,,
932,1.178667196,,,
933,1.284354644,,,
934,1.386463764,,,
935,1.488979873,,,
936,1.594635280,,,
937,1.698831536,,,
938,1.800501636,,,
939,1.904512854,,,
940,2.003586306,,,
941,2.101339083,,,
942,2.198258094,,,
943,2.290876005,,,
944,2.381530736,,,
945,2.471082573,,,
946,2.557620547,,,
947,2.641663964,,,
948,2.723777512,,,
949,2.802864390,,,
950,2.880092312,,,
951,2.955952254,,,
952,3.029303527,,,
953,3.099743242,,,
954,3.169377072,,,
955,3.237033777,,,
956,3.302051096,,,
957,3.366107102,,,
958,3.429296127,,,
959,3.488716080,,,
960,3.547565950,,,
961,3.605242128,,,
962,3.660751393,,,
963,3.715485483,,,
964,3.767884279,,,
965,3.819221034,,,
966,3.868919884,,,
967,3.917201295,,,
968,3.964424260,,,
969,4.010416563,,,
970,4.053446983,,,
971,4.097691167,,,
972,4.138381174,,,
973,4.178275095,,,
974,4.217483958,,,
975,4.255684762,,,
976,4.291389629,,,
977,4.328069519,,,
978,4.362313441,,,
979,4.393848759,,,
980,4.425242789,,,
981,4.457757499,,,
982,4.486453720,,,
983,4.515728019,,,
984,4.544217248,,,
985,4.569215450,,,
986,4.595224765,,,
987,4.619625085,,,
988,4.644382400,,,
989,4.664337774,,,
990,4.686906259,,,
991,4.707590521,,,
992,4.727633650,,,
993,4.744362258,,,
994,4.765017208,,,
995,4.780019589,,,
996,4.795009651,,,
997,4.807996166,,,
998,4.821065987,,,
999,4.835663645,,,
1000,4.848962397,,,
1001,4.858674411,,,
1002,4.869145181,,,
1003,4.879474740,,,
1004,4.888000923,,,
1005,4.892695570,,,
1006,4.899882545,,,
1007,4.906391529,,,
1008,4.910786304,,,
1009,4.913749431,,,
1010,4.919646936,,,
1011,4.916871003,,,
1012,4.919215200,,,
1013,4.919903199,,,
1014,4.916569875,,,
1015,4.915159464,,,
1016,4.913493997,,,
1017,4.910923793,,,
1018,4.904675897,,,
1019,4.900128931,,,
1020,4.893168763,,,
1021,4.887379091,,,
1022,4.878760649,,,
1023,4.868717132,,,
1024,4.858949308,,,
1025,4.852618458,,,
1026,4.839456611,,,
1027,4.823293573,,,
1028,4.811849634,,,
1029,4.800407138,,,
1030,4.782228062,,,
1031,4.766220264,,,
1032,4.749578565,,,
1033,4.728355284,,,
1034,4.708528289,,,
1035,4.693845440,,,
1036,4.672592223,,,
1037,4.650456298,,,
1038,4.626954715,,,
1039,4.606711412,,,
1040,4.583017365,,,
1041,4.559609956,,,
1042,4.536368077,,,
1043,4.511933118,,,
1044,4.487743839,,,
1045,4.462781697,,,
1046,4.438404145,,,
1047,4.417087557,,,
1048,4.392845874,,,
1049,4.369681268,,,
1050,4.348126019,,,
1051,4.327321780,,,
1052,4.310369879,,,
1053,4.293128315,,,
1054,4.277834865,,,
1055,4.265866386,,,
1056,4.255347489,,,
1057,4.245928013,,,
1058,4.241604610,,,
1059,4.237476277,,,
1060,4.236148155,,,
1061,4.237931897,,,
1062,4.239699956,,,
1063,4.245319854,,,
1064,4.252177500,,,
1065,4.259680703,,,
1066,4.268674101,,,
1067,4.278627799,,,
1068,4.289170004,,,
1069,4.299981555,,,
1070,4.312378709,,,
1071,4.323429039,,,
1072,4.334939639,,,
1073,4.346628578,,,
1074,4.356554910,,,
1075,4.365325867,,,
1076,4.378124090,,,
1077,4.386800773,,,
1078,4.396066695,,,
1079,4.404413684,,,
1080,4.411173646,,,
1081,4.416016331,,,
1082,4.423566547,,,
1083,4.430489009,,,
1084,4.434537219,,,
1085,4.436897282,,,
1086,4.439899048,,,
1087,4.442883127,,,
1088,4.441513961,,,
1089,4.443472299,,,
1090,4.442294809,,,
1091,4.441263766,,,
1092,4.438252086,,,
1093,4.437004197,,,
1094,4.432769894,,,
1095,4.427995644,,,
1096,4.422654641,,,
1097,4.416526574,,,
1098,4.408766883,,,
1099,4.400681259,,,
1100,4.392280045,,,
1101,4.382991516,,,
1102,4.373449170,,,
1103,4.361183009,,,
1104,4.349336108,,,
1105,4.337685894,,,
1106,4.324536237,,,
1107,4.310016230,,,
1108,4.295671276,,,
1109,4.278692837,,,
1110,4.264118624,,,
1111,4.246347833,,,
1112,4.228697361,,,
1113,4.209432132,,,
1114,4.190860713,,,
1115,4.170823867,,,
1116,4.149939014,,,
1117,4.128254665,,,
1118,4.106381167,,,
1119,4.083269878,,,
1120,4.060049755,,,
1121,4.035529851,,,
1122,4.010490851,,,
1123,3.984861716,,,
1124,3.959911772,,,
1125,3.931945017,,,
1126,3.904231952,,,
1127,3.876122153,,,
1128,3.846602236,,,
1129,3.818222429,,,
1130,3.788289328,,,
1131,3.756470302,,,
1132,3.725584922,,,
1133,3.693840383,,,
1134,3.660640548,,,
1135,3.626885143,,,
1136,3.594977058,,,
1137,3.561120284,,,
1138,3.526676687,,,
1139,3.491267377,,,
1140,3.456687510,,,
1141,3.420921616,,,
1142,3.385188626,,,
1143,3.349946013,,,
1144,3.311919077,,,
1145,3.276239596,,,
1146,3.240742578,,,
1147,3.203780336,,,
1148,3.168223340,,,
1149,3.131977590,,,
1150,3.095179681,,,
1151,3.059644140,,,
1152,3.024771708,,,
1153,2.989612155,,,
1154,2.955076508,,,
1155,2.921152578,,,
1156,2.887809540,,,
1157,2.854297810,,,
1158,2.821410335,,,
1159,2.789952651,,,
1160,2.758648446,,,
1161,2.727816701,,,
1162,2.698121186,,,
1163,2.668658677,,,
1164,2.639998124,,,
1165,2.610796189,,,
1166,2.582054895,,,
1167,2.554492556,,,
1168,2.527150053,,,
1169,2.498814468,,,
1170,2.472243207,,,
1171,2.445693411,,,
1172,2.418050463,,,
1173,2.391222174,,,
1174,2.362976453,,,
1175,2.334540741,,,
1176,2.307048420,,,
1177,2.277579593,,,
1178,2.248333093,,,
1179,2.218003661,,,
1180,2.187461849,,,
1181,2.156441988,,,
1182,2.123784515,,,
1183,2.090224486,,,
1184,2.056057094,,,
1185,2.020335102,,,
1186,1.983844251,,,
1187,1.948235665,,,
1188,1.912317746,,,
1189,1.878594105,,,
1190,1.839958727,,,
1191,1.798805182,,,
1192,1.756899889,,,
1193,1.713315137,,,
1194,1.666863955,,,
1195,1.618575996,,,
1196,1.567923741,,,
1197,1.514755653,,,
1198,1.459585218,,,
1199,1.402677937,,,
1200,1.347033945,,,
1201,1.285991159,,,
1202,1.222977774,,,
1203,1.158612299,,,
1204,1.090988204,,,
1205,1.023253509,,,
1206,0.955809442,,,
1207,0.888274412,,,
1208,0.824470505,,,
1209,0.763605759,,,
1210,0.707734961,,,
1211,0.661759365,,,
1212,0.625853993,,,
